SYMBOL,SERIES,LAST_TRADE_DATE
20MICRONS,EQ,2024-07-05
21STCENMGM,EQ,2023-12-26
360ONE,EQ,2024-07-05
3IINFOLTD,EQ,2024-07-05
3IINFOTECH,EQ,2021-06-08
3MINDIA,EQ,2024-07-05
3PLAND,EQ,2024-07-05
4THDIM,EQ,2022-12-05
5PAISA,EQ,2024-07-05
63MOONS,EQ,2024-07-05
8KMILES,EQ,2020-09-23
A2ZINFRA,EQ,2023-08-30
AAATECH,EQ,2024-05-02
AADHARHFC,EQ,2024-07-05
AAKASH,EQ,2024-07-04
AAREYDRUGS,EQ,2024-01-10
AARON,EQ,2024-07-05
AARTECH,EQ,2024-04-23
AARTIDRUGS,EQ,2024-07-05
AARTIIND,EQ,2024-07-05
AARTIPHARM,EQ,2024-07-05
AARTISURF,EQ,2024-07-05
AARVEEDEN,EQ,2024-07-05
AARVI,EQ,2024-07-05
AAVAS,EQ,2024-07-05
ABAN,EQ,2024-02-07
ABB,EQ,2024-07-05
ABBOTINDIA,EQ,2024-07-05
ABCAPITAL,EQ,2024-07-05
ABCIL,EQ,2016-01-13
ABDL,EQ,2024-07-05
ABFRL,EQ,2024-07-05
ABGSHIP,EQ,2017-01-23
ABIRLANUVO,EQ,2017-07-04
ABMINTLLTD,EQ,2024-06-18
ABMINTLTD,EQ,2021-07-26
ABSLAMC,EQ,2024-07-05
ABSLBANETF,EQ,2024-07-05
ABSLLIQUID,EQ,2024-07-05
ABSLNN50ET,EQ,2024-07-05
ABSLPSE,EQ,2024-07-05
ACC,EQ,2024-07-05
ACCELYA,EQ,2024-07-05
ACCURACY,EQ,2024-06-26
ACE,EQ,2024-07-05
ACEINTEG,EQ,2024-07-05
ACI,EQ,2024-07-05
ACL,EQ,2024-07-05
ACLGATI,EQ,2024-07-05
ACROPETAL,EQ,2016-05-20
ACRYSIL,EQ,2022-11-17
ADANIENSOL,EQ,2024-07-05
ADANIENT,EQ,2024-07-05
ADANIGAS,EQ,2021-01-12
ADANIGREEN,EQ,2024-07-05
ADANIPORTS,EQ,2024-07-05
ADANIPOWER,EQ,2024-07-05
ADANITRANS,EQ,2023-08-23
ADFFOODS,EQ,2024-07-05
ADHUNIK,EQ,2019-08-22
ADHUNIKIND,EQ,2021-05-19
ADI,EQ,2017-01-18
ADL,EQ,2024-07-05
ADLABS,EQ,2020-04-21
ADORWELD,EQ,2024-07-05
ADROITINFO,EQ,2024-07-05
ADSL,EQ,2024-07-05
ADVANIHOTR,EQ,2024-07-05
ADVANTA,EQ,2016-07-29
ADVENZYMES,EQ,2024-07-05
AEGISCHEM,EQ,2024-06-06
AEGISLOG,EQ,2024-07-05
AEROFLEX,EQ,2024-07-05
AETHER,EQ,2024-07-05
AFFLE,EQ,2024-07-05
AFL,EQ,2018-10-11
AGARIND,EQ,2024-07-05
AGCNET,EQ,2021-12-02
AGI,EQ,2024-07-05
AGLSL,EQ,2019-10-23
AGRITECH,EQ,2024-07-05
AGRODUTCH,EQ,2016-09-26
AGROPHOS,EQ,2024-07-05
AGSTRA,EQ,2024-07-05
AHL,EQ,2024-07-05
AHLADA,EQ,2024-05-30
AHLEAST,EQ,2024-07-05
AHLUCONT,EQ,2024-07-05
AHLWEST,EQ,2021-10-22
AIAENG,EQ,2024-07-05
AIFL,EQ,2019-02-21
AIIL,EQ,2024-07-05
AIL,EQ,2016-09-12
AIONJSW,EQ,2020-10-09
AIRAN,EQ,2024-07-05
AIROLAM,EQ,2024-07-05
AJANTPHARM,EQ,2024-07-05
AJMERA,EQ,2024-07-05
AJOONI,EQ,2024-07-05
